,UWI,Depth,FACIES,DTC,GR,NPHI,PEF,RESD,RESM,RHOB
9200,Torosa 1,3677.789134000001,6.0,69.12270689,41.50110326,0.106599582,4.335880747,6.877884139,7.248960812000001,2.625308327
9201,Torosa 1,3677.941477,6.0,69.45600209999999,41.52762528,0.108902876,4.311523577,3.613067996,3.847401609,2.607504651
9202,Torosa 1,3678.093821,6.0,71.12276909,42.62120418,0.117780956,4.2724288,3.59822969,3.898151836,2.593467734
9203,Torosa 1,3678.246165,6.0,73.67655204,43.46738555,0.123574466,4.254815612,3.523492845,3.838789761,2.597536182
9204,Torosa 1,3678.398509000001,6.0,75.8228501,43.08993933,0.124472731,4.2460612860000015,3.913471871,4.2214375560000015,2.5972815280000003
9205,Torosa 1,3678.550853,6.0,76.12720106,41.25652008,0.124156778,4.203138817,5.8562230610000015,6.280307897999999,2.59905581
9206,Torosa 1,3678.703196,6.0,75.35474473,40.26163374,0.123586543,4.2345336730000005,5.362488123,5.7610090970000005,2.606202407
9207,Torosa 1,3678.85554,6.0,75.64577706,42.3566576,0.127841859,4.2423661689999985,2.750254165,2.974652243,2.597251086
9208,Torosa 1,3679.007884000001,6.0,76.68889626,46.00127187,0.14158722599999998,4.197542982,1.706459508,1.856157137,2.56994526
9209,Torosa 1,3679.160228,6.0,77.00501371,47.59454632,0.159915323,4.210317288,1.68471499,1.834261365,2.566867304
9210,Torosa 1,3679.312572,6.0,75.68446872,46.3708035,0.16794453399999998,4.22597008,2.086186099,2.2471193240000003,2.569035293
9211,Torosa 1,3679.464915,6.0,74.61918670000001,44.25820996,0.157502726,4.183595974,3.084647774,3.3462012060000004,2.567253561
9212,Torosa 1,3679.617259000001,6.0,75.68936964,42.37426341,0.14086800900000002,4.167897979,4.113036106,4.491214414,2.59411417
9213,Torosa 1,3679.769603,6.0,76.41600782,42.91230488,0.140820632,4.131996256,3.121983096,3.387167622,2.590227028
9214,Torosa 1,3679.921947,6.0,75.92346309,45.87078149,0.15921914,4.066900100000002,1.673762171,1.819170763,2.560473118
9215,Torosa 1,3680.074291,6.0,75.7604466,47.82937445,0.16476885300000002,4.108273868,2.756273059,2.980863662,2.578518565
9216,Torosa 1,3680.226634000001,6.0,77.58393842,46.81407372,0.151028651,4.188810413,4.3609498460000005,4.676621306,2.612416152
9217,Torosa 1,3680.378978,6.0,80.13068516,45.37043955,0.146937292,4.167592204,3.489566319,3.740518462,2.604907779
9218,Torosa 1,3680.531322,6.0,81.47555955,45.81426389999999,0.160266036,4.094216821,2.006896464,2.147624125,2.571066563
9219,Torosa 1,3680.683666,6.0,82.82552041,47.29407283,0.170409483,4.11043921,1.986916852,2.125287826,2.567687129
9220,Torosa 1,3680.83601,6.0,84.55137746,50.47615734,0.163684737,4.198205749,3.089505533,3.3207445160000004,2.598164524
9221,Torosa 1,3680.988353,6.0,85.59619528,53.64153398,0.158570312,4.162156434,3.2864094180000003,3.547850556,2.596826026
9222,Torosa 1,3681.140697,6.0,85.36661326,55.23876878,0.170405282,4.0791770010000015,1.938481353,2.100359182,2.559930864
9223,Torosa 1,3681.293041,6.0,84.90455459,55.5852572,0.195678096,4.030252681,1.399017007,1.518612924,2.533389074
9224,Torosa 1,3681.445385,6.0,83.87718531,55.98374801,0.212500543,3.985681775,1.653142228,1.798790824,2.538086304
9225,Torosa 1,3681.597729,6.0,82.56424098,57.03860783,0.208902971,3.972139697,1.713081232,1.865076276,2.539408974
9226,Torosa 1,3681.750072,6.0,80.84420854,56.36382757,0.207446067,3.959278968,1.413280111,1.538414872,2.5180386340000003
9227,Torosa 1,3681.902416,6.0,79.44881571,53.59809322,0.201964113,4.045254292,1.552437268,1.693919767,2.559122186
